StudentID,Age,Gender,EducationLevel,City,AIToolUsed,DailyUsageHours,Purpose,ImpactonGrades,SatisfactionLevel
1,15,Female,School,Ludhiana,Grammarly,4.7,Research,Improved,Low
2,21,Female,College,Guwahati,ChatGPT,2.2,Learning,Improved,Medium
3,23,Female,University,Nagpur,Gemini,1.9,Writing,No Change,Low
4,24,Female,School,Visakhapatnam,Copilot,3.8,Coding,Improved,Low
5,16,Male,School,Gurugram,ChatGPT,4.8,Research,No Change,High
6,22,Female,College,Bhubaneswar,ChatGPT,3.0,Research,No Change,High
7,22,Male,University,Bhopal,Claude,6.4,Homework,No Change,Low
8,21,Female,University,Kanpur,Perplexity,4.6,Homework,No Change,High
9,25,Female,College,Lucknow,ChatGPT,3.4,Learning,Slight Decline,Low
10,22,Female,School,Thiruvananthapuram,Copilot,2.9,Homework,No Change,Low
11,22,Female,University,Ludhiana,Copilot,2.6,Writing,Improved,High
12,16,Female,School,Ranchi,Copilot,4.9,Learning,No Change,High
13,23,Male,University,Coimbatore,Grammarly,3.1,Learning,Slight Decline,Medium
14,17,Male,University,Delhi,Grammarly,0.9,Coding,Improved,Low
15,17,Female,School,Visakhapatnam,Copilot,2.9,Research,Slight Decline,Medium
16,21,Female,School,Bengaluru,Claude,4.9,Writing,Slight Decline,Medium
17,16,Male,College,Ranchi,ChatGPT,1.6,Homework,No Change,Low
18,23,Female,School,Thiruvananthapuram,Copilot,1.6,Coding,Improved,High
19,20,Female,College,Visakhapatnam,Perplexity,3.7,Learning,No Change,Low
20,25,Male,College,Indore,Gemini,3.7,Writing,Slight Decline,Low
21,23,Female,University,Coimbatore,Gemini,4.3,Research,No Change,Medium
22,17,Female,University,Bengaluru,Perplexity,5.6,Learning,Slight Decline,Medium
23,21,Male,University,Mysuru,Grammarly,4.8,Writing,No Change,Medium
24,25,Female,College,Surat,Notion AI,4.2,Writing,Improved,High
25,20,Male,College,Lucknow,ChatGPT,4.8,Homework,Slight Decline,Medium
26,18,Female,School,Chennai,Claude,2.4,Learning,Improved,Medium
27,19,Female,School,Lucknow,ChatGPT,2.7,Learning,Slight Decline,Low
28,15,Male,College,Patna,Gemini,1.9,Writing,Slight Decline,Medium
29,16,Female,University,Kanpur,Gemini,2.3,Homework,Improved,Medium
30,22,Female,School,Chennai,Perplexity,4.3,Homework,No Change,Medium
31,21,Male,University,Mysuru,Claude,1.1,Writing,Slight Decline,High
32,22,Female,University,Patna,ChatGPT,3.1,Writing,No Change,Medium
33,20,Female,College,Kochi,Gemini,3.1,Coding,No Change,Low
34,17,Female,School,Bhubaneswar,Grammarly,3.5,Coding,Slight Decline,Medium
35,17,Female,College,Hyderabad,Copilot,3.1,Writing,No Change,High
36,24,Female,School,Ahmedabad,ChatGPT,2.4,Homework,No Change,Medium
37,16,Female,University,Ludhiana,Perplexity,3.1,Research,Improved,High
38,22,Female,College,Patna,Claude,5.9,Research,Improved,High
39,22,Female,College,Vijayawada,Gemini,6.2,Writing,Improved,Medium
40,25,Female,University,Mysuru,Grammarly,3.5,Homework,Improved,Medium
41,23,Male,College,Guwahati,Copilot,4.2,Learning,Slight Decline,Low
42,22,Female,University,Patna,ChatGPT,1.2,Research,Slight Decline,Medium
43,18,Male,College,Coimbatore,Gemini,2.4,Coding,No Change,Medium
44,15,Male,College,Indore,Gemini,3.0,Learning,Improved,Medium
45,23,Male,University,Lucknow,Notion AI,5.7,Learning,No Change,Medium
46,22,Male,College,Lucknow,ChatGPT,2.0,Writing,No Change,High
47,23,Female,School,Lucknow,ChatGPT,3.4,Coding,No Change,Medium
48,16,Male,University,Surat,Notion AI,6.4,Coding,Slight Decline,Medium
49,17,Female,School,Pune,Gemini,3.6,Learning,Improved,Low
50,18,Male,College,Visakhapatnam,ChatGPT,4.2,Coding,Slight Decline,Medium
51,23,Male,School,Nagpur,Perplexity,1.2,Coding,Slight Decline,Medium
52,17,Female,School,Coimbatore,Perplexity,5.5,Research,Improved,High
53,15,Female,School,Delhi,Gemini,4.1,Coding,Improved,High
54,25,Female,College,Kanpur,Gemini,3.8,Coding,Improved,Medium
55,15,Female,School,Noida,Perplexity,2.6,Writing,Improved,Low
56,22,Female,University,Kolkata,ChatGPT,2.3,Coding,Slight Decline,Medium
57,19,Female,School,Ahmedabad,ChatGPT,3.0,Writing,Slight Decline,Low
58,24,Female,University,Hyderabad,Notion AI,4.6,Learning,No Change,Low
59,21,Male,College,Mysuru,Notion AI,5.8,Writing,Improved,Low
60,20,Male,School,Mysuru,Gemini,3.6,Coding,No Change,Low
61,25,Female,School,Vijayawada,Gemini,4.5,Writing,No Change,High
62,16,Male,University,Vijayawada,Copilot,4.0,Coding,Improved,Low
63,18,Female,College,Indore,Gemini,4.2,Writing,Slight Decline,Low
64,19,Female,University,Ahmedabad,Copilot,4.5,Learning,Improved,Low
65,23,Male,School,Nagpur,Copilot,5.6,Learning,Improved,High
66,15,Female,College,Kanpur,Copilot,1.0,Research,Slight Decline,Low
67,21,Male,University,Coimbatore,Copilot,5.1,Research,Slight Decline,Low
68,20,Male,University,Coimbatore,ChatGPT,2.0,Coding,Slight Decline,Low
69,24,Female,College,Guwahati,ChatGPT,1.7,Homework,Slight Decline,High
70,18,Female,University,Indore,ChatGPT,3.9,Learning,Improved,High
71,20,Female,College,Coimbatore,Perplexity,1.1,Homework,Slight Decline,Low
72,21,Male,College,Chandigarh,ChatGPT,5.8,Learning,Improved,Medium
73,17,Male,School,Jaipur,Claude,4.3,Writing,No Change,Low
74,16,Female,School,Chennai,Copilot,4.8,Learning,No Change,Medium
75,16,Female,University,Gurugram,Claude,0.6,Writing,Slight Decline,High
76,16,Female,College,Gurugram,Notion AI,4.1,Research,No Change,Low
77,15,Male,School,Kolkata,ChatGPT,3.8,Coding,No Change,Medium
78,25,Male,School,Ahmedabad,ChatGPT,1.5,Coding,Improved,Low
79,15,Female,School,Gurugram,Notion AI,1.4,Writing,Improved,High
80,19,Female,School,Ludhiana,Grammarly,4.7,Research,Improved,Low
81,16,Female,College,Patna,ChatGPT,2.4,Homework,Slight Decline,Low
82,19,Female,University,Kanpur,Notion AI,4.7,Research,Improved,High
83,17,Female,College,Ranchi,Gemini,3.8,Coding,Improved,Medium
84,15,Female,School,Guwahati,Notion AI,2.8,Learning,Improved,High
85,15,Male,School,Delhi,Claude,6.1,Learning,No Change,High
86,21,Female,School,Bhubaneswar,Notion AI,5.6,Learning,Improved,Medium
87,15,Female,University,Visakhapatnam,Gemini,2.6,Writing,Improved,High
88,23,Male,University,Vijayawada,Notion AI,0.8,Coding,Slight Decline,Medium
89,24,Female,College,Indore,Gemini,2.3,Coding,No Change,High
90,25,Male,School,Vijayawada,Gemini,2.9,Learning,Slight Decline,High
91,17,Female,College,Lucknow,Grammarly,4.7,Research,No Change,Medium
92,17,Male,School,Ranchi,Claude,6.5,Homework,Slight Decline,Low
93,23,Male,College,Bhopal,Gemini,2.6,Homework,No Change,Low
94,20,Female,College,Kochi,Perplexity,5.1,Research,Slight Decline,High
95,24,Female,School,Mumbai,ChatGPT,4.1,Research,Improved,High
96,16,Female,College,Ludhiana,Grammarly,4.7,Learning,Improved,High
97,24,Male,School,Patna,Grammarly,1.4,Learning,Slight Decline,High
98,16,Female,University,Ludhiana,Gemini,2.9,Homework,No Change,Medium
99,20,Female,University,Chennai,Copilot,1.9,Coding,Improved,Low
100,16,Male,University,Lucknow,Perplexity,2.6,Learning,No Change,Low
101,17,Male,University,Mumbai,Perplexity,3.6,Coding,Slight Decline,Low
102,23,Male,University,Bhopal,Gemini,4.5,Coding,Slight Decline,High
103,15,Female,School,Chennai,Copilot,1.1,Homework,Slight Decline,Medium
104,18,Male,College,Chandigarh,Notion AI,1.3,Coding,No Change,Medium
105,15,Female,College,Jaipur,ChatGPT,2.4,Research,No Change,Medium
